日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-21,920149,12.5,12.0,12.5,12.0,35582,43538907.32,4.22,1.35,0.16,7.96
2025-01-22,920149,11.88,11.28,11.96,11.21,33070,37905201.43,6.25,-6.0,-0.72,7.4
2025-01-23,920149,11.55,11.26,11.89,11.26,27884,32209725.31,5.59,-0.18,-0.02,6.24
2025-01-24,920149,11.45,11.7,11.76,11.26,27671,31938114.72,4.44,3.91,0.44,6.19
2025-01-27,920149,11.48,10.85,11.75,10.83,31206,34976932.17,7.86,-7.26,-0.85,6.98
2025-02-05,920149,10.91,10.47,11.01,10.31,31472,33121562.03,6.45,-3.5,-0.38,7.04
2025-02-06,920149,10.35,10.99,11.0,10.25,36563,38805051.61,7.16,4.97,0.52,8.18
2025-02-07,920149,10.99,11.6,11.97,10.89,55276,63527221.28,9.83,5.55,0.61,12.37
2025-02-10,920149,12.31,15.08,15.08,12.2,154599,217065154.07,24.83,30.0,3.48,34.59
2025-02-11,920149,15.2,15.0,16.49,14.27,159373,248142600.37,14.72,-0.53,-0.08,35.66
2025-02-12,920149,14.3,14.47,14.8,13.81,100561,144412777.91,6.6,-3.53,-0.53,22.5
2025-02-13,920149,14.45,14.05,14.56,13.81,50012,70776437.64,5.18,-2.9,-0.42,11.19
2025-02-14,920149,13.7,13.63,14.16,13.52,43540,59842092.81,4.56,-2.99,-0.42,9.74
2025-02-17,920149,13.1,14.1,14.5,13.1,57895,81444735.92,10.27,3.45,0.47,12.95
2025-02-18,920149,14.24,13.4,14.24,13.4,37240,51059863.17,5.96,-4.96,-0.7,8.33
2025-02-19,920149,13.32,13.65,13.69,13.18,32480,43759016.89,3.81,1.87,0.25,7.27
2025-02-20,920149,13.65,14.0,14.0,13.42,43718,60211814.7,4.25,2.56,0.35,9.78
2025-02-21,920149,15.1,14.1,15.98,14.1,80002,117701244.05,13.43,0.71,0.1,17.9
2025-02-24,920149,13.89,13.79,14.36,13.66,42860,59756238.64,4.96,-2.2,-0.31,9.59
2025-02-25,920149,13.75,13.7,14.0,13.47,28290,38821950.74,3.84,-0.65,-0.09,6.33
2025-02-26,920149,13.6,14.11,14.23,13.58,37463,52557051.95,4.74,2.99,0.41,8.38
2025-02-27,920149,14.38,13.95,14.38,13.48,34204,47575288.05,6.38,-1.13,-0.16,7.65
2025-02-28,920149,13.82,14.06,14.59,13.6,56058,79448452.79,7.1,0.79,0.11,12.54
2025-03-03,920149,14.33,14.71,14.87,14.28,63293,91895379.84,4.2,4.62,0.65,14.16
2025-03-04,920149,14.39,15.39,15.45,14.38,65720,98725014.84,7.27,4.62,0.68,14.7
2025-03-05,920149,15.58,15.38,15.7,14.59,68902,104547589.2,7.21,-0.06,-0.01,15.42
2025-03-06,920149,15.36,15.01,15.46,14.6,53411,80377277.89,5.59,-2.41,-0.37,11.95
2025-03-07,920149,15.15,15.15,15.65,14.73,53881,81962612.97,6.13,0.93,0.14,12.06
2025-03-10,920149,15.38,16.68,17.36,15.18,116283,188953695.96,14.39,10.1,1.53,26.02
2025-03-11,920149,16.16,16.15,16.33,15.79,66089,105920623.85,3.24,-3.18,-0.53,14.79
2025-03-12,920149,16.08,16.06,16.37,16.0,43631,70416411.25,2.29,-0.56,-0.09,9.76
2025-03-13,920149,16.15,15.57,16.35,15.18,43319,67899990.21,7.29,-3.05,-0.49,9.69
2025-03-14,920149,15.61,16.45,16.71,15.56,63693,103544617.74,7.39,5.65,0.88,14.25
2025-03-17,920149,16.5,17.02,17.45,16.2,66804,113640013.54,7.6,3.47,0.57,14.95
2025-03-18,920149,17.33,17.6,17.71,16.71,73603,127185249.15,5.88,3.41,0.58,16.47
2025-03-19,920149,17.75,15.88,17.87,15.88,59462,99657937.82,11.31,-9.77,-1.72,13.3
2025-03-20,920149,15.63,14.65,16.04,14.56,61404,93930841.0,9.32,-7.75,-1.23,13.74
2025-03-21,920149,14.67,13.76,14.72,13.52,42189,58788183.78,8.19,-6.08,-0.89,9.44
2025-03-24,920149,13.78,13.64,13.85,12.92,27050,36353670.35,6.76,-0.87,-0.12,6.05
2025-03-25,920149,13.74,14.11,14.25,13.58,37077,51669254.09,4.91,3.45,0.47,8.3
2025-03-26,920149,14.07,13.89,14.3,13.69,33450,46948336.46,4.32,-1.56,-0.22,7.48
2025-03-27,920149,13.91,14.01,14.18,13.49,25591,35532929.07,4.97,0.86,0.12,5.73
2025-03-28,920149,14.09,13.2,14.14,13.13,23367,31859189.05,7.21,-5.78,-0.81,5.23
2025-03-31,920149,13.05,12.15,13.13,11.99,30883,38126353.68,8.64,-7.95,-1.05,6.91
2025-04-01,920149,12.24,12.35,12.58,12.18,24818,30756359.56,3.29,1.65,0.2,5.55
2025-04-02,920149,12.37,12.09,12.5,11.99,20642,25296245.31,4.13,-2.11,-0.26,4.62
2025-04-03,920149,11.76,12.35,12.35,11.76,16807,20429844.88,4.88,2.15,0.26,3.76
2025-04-07,920149,11.4,10.09,11.68,9.7,45388,48341341.11,16.03,-18.3,-2.26,10.15
2025-04-08,920149,10.5,11.05,11.3,10.11,38559,41875676.22,11.79,9.51,0.96,8.63
2025-04-09,920149,11.14,12.35,12.46,10.51,47159,55422594.44,17.65,11.76,1.3,10.55
2025-04-10,920149,12.35,13.15,14.35,12.35,65859,87264505.72,16.19,6.48,0.8,14.73
2025-04-11,920149,12.87,12.8,13.38,12.7,37492,49164069.4,5.17,-2.66,-0.35,8.39
2025-04-14,920149,13.26,13.05,13.26,12.8,22416,29298351.28,3.59,1.95,0.25,5.02
2025-04-15,920149,13.2,13.04,13.25,12.7,21325,27711509.0,4.21,-0.08,-0.01,4.77
2025-04-16,920149,13.05,12.88,13.05,12.46,19236,24529296.63,4.52,-1.23,-0.16,4.3
2025-04-17,920149,12.73,13.14,13.55,12.7,24944,32955275.0,6.6,2.02,0.26,5.58
2025-04-18,920149,13.15,13.88,13.95,13.06,42258,57123819.24,6.77,5.63,0.74,9.45
2025-04-21,920149,13.69,13.56,13.79,13.36,29982,40584570.55,3.1,-2.31,-0.32,6.71
2025-04-22,920149,13.57,13.35,13.78,13.32,21094,28568963.44,3.39,-1.55,-0.21,4.72
2025-04-23,920149,13.57,13.25,13.57,13.2,18255,24380090.9,2.77,-0.75,-0.1,4.08
2025-04-24,920149,13.11,12.74,13.5,12.5,22667,29262309.53,7.55,-3.85,-0.51,5.07
2025-04-25,920149,12.83,12.74,13.31,12.64,28586,37160128.85,5.26,0.0,0.0,6.4
2025-04-28,920149,12.32,11.77,12.79,11.71,25184,30318313.69,8.48,-7.61,-0.97,5.63
2025-04-29,920149,11.75,11.93,12.15,11.59,12816,15313015.21,4.76,1.36,0.16,2.87
2025-04-30,920149,12.18,13.05,13.18,12.17,37953,48422525.3,8.47,9.39,1.12,8.49
2025-05-06,920149,13.16,13.58,13.88,13.06,34102,45926823.79,6.28,4.06,0.53,7.63
2025-05-07,920149,13.86,13.45,14.27,13.38,34855,47798015.69,6.55,-0.96,-0.13,7.8
2025-05-08,920149,13.41,13.63,13.95,13.31,38516,52747314.18,4.76,1.34,0.18,8.62
2025-05-09,920149,13.65,13.73,13.92,13.36,30145,41290100.9,4.11,0.73,0.1,6.74
2025-05-12,920149,14.21,13.92,14.37,13.71,28250,39190260.87,4.81,1.38,0.19,6.32
2025-05-13,920149,14.11,13.93,14.87,13.89,65846,94916463.15,7.04,0.07,0.01,14.73
2025-05-14,920149,13.81,14.25,14.29,13.65,41370,57493705.14,4.59,2.3,0.32,9.26
2025-05-15,920149,14.19,14.37,14.77,14.05,41513,60096504.62,5.05,0.84,0.12,9.29
2025-05-16,920149,14.98,14.39,15.53,14.37,61182,91006934.44,8.07,0.14,0.02,13.69
2025-05-19,920149,15.32,16.02,16.91,14.83,143415,227325476.65,14.45,11.33,1.63,32.09
2025-05-20,920149,16.25,19.17,20.67,16.15,207735,377585544.95,28.21,19.66,3.15,46.48
2025-05-21,920149,18.29,16.48,18.32,16.45,160534,276565606.81,9.75,-14.03,-2.69,35.92
2025-05-22,920149,15.8,15.15,16.55,15.0,107865,168401651.21,9.41,-8.07,-1.33,24.13
2025-05-23,920149,15.16,14.95,15.32,14.7,63429,95600202.65,4.09,-1.32,-0.2,14.19
2025-05-26,920149,15.05,15.25,15.25,14.75,42315,63720389.48,3.34,2.01,0.3,9.47
2025-05-27,920149,15.37,14.98,15.44,14.88,43085,65140768.96,3.67,-1.77,-0.27,9.64
2025-05-28,920149,15.07,14.61,15.1,14.51,37938,55926796.69,3.94,-2.47,-0.37,8.49
2025-05-29,920149,14.7,15.2,15.28,14.63,48798,73290045.32,4.45,4.04,0.59,10.92
2025-05-30,920149,15.25,14.9,15.4,14.81,33102,49872067.06,3.88,-1.97,-0.3,7.41
2025-06-03,920149,14.8,15.2,15.21,14.68,25614,38491141.35,3.56,2.01,0.3,5.73
2025-06-04,920149,15.18,15.55,15.58,15.06,39922,61549180.73,3.42,2.3,0.35,8.93
2025-06-05,920149,15.8,15.4,15.8,15.23,48889,75558501.84,3.67,-0.96,-0.15,10.94
2025-06-06,920149,15.29,15.36,15.74,15.2,40504,62641388.36,3.51,-0.26,-0.04,9.06
2025-06-09,920149,15.29,15.62,15.64,15.19,36835,56850692.61,2.93,1.69,0.26,8.24
2025-06-10,920149,15.7,15.37,15.85,15.1,42899,66595886.6,4.8,-1.6,-0.25,9.6
2025-06-11,920149,15.35,15.71,15.76,15.21,39833,62115510.68,3.58,2.21,0.34,8.91
2025-06-12,920149,15.64,15.58,15.65,15.41,24492,38012286.22,1.53,-0.83,-0.13,5.48
2025-06-13,920149,15.51,14.84,15.57,14.8,31683,47937473.5,4.94,-4.75,-0.74,7.09
2025-06-16,920149,14.74,14.92,14.96,14.66,19744,29273559.88,2.02,0.54,0.08,4.42
2025-06-17,920149,14.91,14.82,15.2,14.78,21828,32568652.8,2.82,-0.67,-0.1,4.88
2025-06-18,920149,14.89,14.7,14.91,14.36,21183,30903633.23,3.71,-0.81,-0.12,4.74
2025-06-19,920149,14.66,14.01,14.85,13.9,24543,35351522.42,6.46,-4.69,-0.69,5.49
2025-06-20,920149,14.09,14.02,14.4,14.0,21389,30478537.63,2.86,0.07,0.01,4.79
2025-06-23,920149,13.88,14.58,14.62,13.7,20223,28880137.46,6.56,3.99,0.56,4.52
2025-06-24,920149,14.58,15.09,15.2,14.51,37524,56245642.54,4.73,3.5,0.51,8.4
2025-06-25,920149,15.17,15.2,15.45,15.03,29747,45054026.01,2.78,0.73,0.11,6.66
2025-06-26,920149,15.21,15.09,15.45,15.09,31438,48016823.57,2.37,-0.72,-0.11,7.03
2025-06-27,920149,15.22,15.25,15.45,15.1,28402,43404736.77,2.32,1.06,0.16,6.35
2025-06-30,920149,15.35,15.43,15.55,15.15,26363,40393070.22,2.62,1.18,0.18,5.9
2025-07-01,920149,15.43,15.55,15.68,15.2,26977,41753197.38,3.11,0.78,0.12,6.04
2025-07-02,920149,15.5,16.33,16.38,15.3,77111,122836007.19,6.95,5.02,0.78,17.25
2025-07-03,920149,16.09,15.75,16.18,15.43,61355,96521133.63,4.59,-3.55,-0.58,13.73
2025-07-04,920149,15.75,15.01,15.9,14.98,41555,63693566.13,5.84,-4.7,-0.74,9.3
2025-07-07,920149,15.01,14.84,15.29,14.8,25262,37959272.9,3.26,-1.13,-0.17,4.08
2025-07-08,920149,14.83,15.27,15.55,14.8,36473,55755941.75,5.05,2.9,0.43,5.89
2025-07-09,920149,15.27,15.5,15.66,15.2,38665,59784198.23,3.01,1.51,0.23,6.24
2025-07-10,920149,15.64,16.88,17.58,15.31,130291,213367570.24,14.65,8.9,1.38,21.04
2025-07-11,920149,16.65,16.06,16.79,16.01,86697,141180123.3,4.62,-4.86,-0.82,14.0
2025-07-14,920149,16.06,15.85,16.34,15.71,53998,86233629.28,3.92,-1.31,-0.21,8.72
2025-07-15,920149,15.74,16.44,16.66,15.4,76451,122663559.09,7.95,3.72,0.59,12.35
2025-07-16,920149,16.3,16.02,16.55,15.79,47887,77150212.49,4.62,-2.55,-0.42,7.73
2025-07-17,920149,16.14,15.78,16.25,15.75,28053,44517027.81,3.12,-1.5,-0.24,4.53
2025-07-18,920149,15.8,15.86,15.88,15.47,32944,51569266.52,2.6,0.51,0.08,5.32
2025-07-21,920149,16.0,16.41,16.66,15.98,70036,114505695.69,4.29,3.47,0.55,11.31
2025-07-22,920149,16.41,17.33,17.58,16.18,94475,159957024.62,8.53,5.61,0.92,15.26
2025-07-23,920149,17.61,16.6,17.62,16.47,71244,120883011.71,6.64,-4.21,-0.73,11.51
2025-07-24,920149,16.58,16.84,17.05,16.43,47295,79289386.82,3.73,1.45,0.24,7.64
2025-07-25,920149,16.99,16.31,16.99,16.26,46386,76643529.8,4.33,-3.15,-0.53,7.49
2025-07-28,920149,16.4,16.23,16.45,16.14,22459,36546760.16,1.9,-0.49,-0.08,3.63
2025-07-29,920149,16.3,16.23,16.55,15.86,26073,41999582.15,4.25,0.0,0.0,4.21
2025-07-30,920149,16.22,16.4,16.5,16.06,32595,53167317.9,2.71,1.05,0.17,5.26
2025-07-31,920149,16.4,15.7,16.45,15.61,29805,47663968.48,5.12,-4.27,-0.7,4.81
2025-08-01,920149,15.7,15.93,16.16,15.7,20051,32032183.48,2.93,1.46,0.23,3.24
2025-08-04,920149,15.9,15.99,16.1,15.75,13784,21887213.89,2.2,0.38,0.06,2.23
2025-08-05,920149,16.04,15.99,16.27,15.9,14703,23532425.25,2.31,0.0,0.0,2.37
2025-08-06,920149,16.1,16.23,16.24,15.85,21093,33868048.74,2.44,1.5,0.24,3.41
2025-08-07,920149,16.47,16.42,16.9,16.3,40652,67390806.4,3.7,1.17,0.19,6.56
2025-08-08,920149,16.58,16.11,16.58,16.11,23382,38016374.75,2.86,-1.89,-0.31,3.78
2025-08-11,920149,16.18,15.98,16.18,15.88,29436,47134487.61,1.86,-0.81,-0.13,4.75
2025-08-12,920149,16.0,15.88,16.07,15.67,19894,31525683.77,2.5,-0.63,-0.1,3.21
2025-08-13,920149,15.87,15.58,15.88,15.55,20098,31548310.79,2.08,-1.89,-0.3,3.25
2025-08-14,920149,15.63,14.88,15.65,14.88,26082,39724459.44,4.94,-4.49,-0.7,4.21
2025-08-15,920149,15.05,15.47,15.5,14.98,18230,27893534.36,3.49,3.97,0.59,2.94
2025-08-18,920149,15.5,16.12,16.16,15.5,29437,46926293.82,4.27,4.2,0.65,4.75
2025-08-19,920149,16.19,16.07,16.61,16.07,40120,65738079.62,3.35,-0.31,-0.05,6.48
2025-08-20,920149,16.1,16.3,16.6,16.09,38281,62445822.76,3.17,1.43,0.23,6.18
2025-08-21,920149,16.28,16.38,16.59,16.23,25840,42332124.31,2.21,0.49,0.08,4.17
2025-08-22,920149,16.3,15.92,16.36,15.52,58260,92588720.85,5.13,-2.81,-0.46,9.41
2025-08-25,920149,15.98,15.85,15.98,15.54,28638,45107619.83,2.76,-0.44,-0.07,4.62
2025-08-26,920149,15.87,15.73,16.04,15.61,21933,34593255.84,2.71,-0.76,-0.12,3.54
2025-08-27,920149,15.74,15.21,15.75,15.21,21169,32884922.44,3.43,-3.31,-0.52,3.42
2025-08-28,920149,15.05,15.3,15.53,14.89,20628,31238719.07,4.21,0.59,0.09,3.33
2025-08-29,920149,15.47,15.08,15.58,15.07,20802,32022117.89,3.33,-1.44,-0.22,3.36
2025-09-01,920149,14.84,15.24,15.34,14.84,16910,25561676.14,3.32,1.06,0.16,2.73
2025-09-02,920149,15.35,15.38,15.5,15.15,25945,39861079.69,2.3,0.92,0.14,4.19
2025-09-03,920149,15.38,14.85,15.5,14.82,19068,28829051.14,4.42,-3.45,-0.53,3.08
2025-09-04,920149,14.96,15.3,15.54,14.91,29010,44466329.92,4.24,3.03,0.45,4.68
2025-09-05,920149,15.37,15.94,15.96,15.37,41088,64894606.47,3.86,4.18,0.64,6.64
2025-09-08,920149,16.1,16.24,16.46,15.91,40196,65256228.09,3.45,1.88,0.3,6.49
2025-09-09,920149,16.21,15.76,16.24,15.71,24113,38308866.16,3.26,-2.96,-0.48,3.89
2025-09-10,920149,15.77,15.5,16.03,15.33,18664,29204392.13,4.44,-1.65,-0.26,3.01
2025-09-11,920149,15.46,16.15,16.22,15.44,36934,58863628.55,5.03,4.19,0.65,5.96
2025-09-12,920149,16.2,16.08,16.23,15.8,18932,30163945.94,2.66,-0.43,-0.07,3.06
2025-09-15,920149,16.15,16.13,16.24,15.68,20030,31923333.21,3.48,0.31,0.05,3.23
2025-09-16,920149,16.18,15.9,16.19,15.73,15562,24728240.1,2.85,-1.43,-0.23,2.51
2025-09-17,920149,15.9,15.71,15.95,15.63,18135,28568668.6,2.01,-1.19,-0.19,2.93
2025-09-18,920149,15.75,15.5,16.06,15.31,24114,38084814.24,4.77,-1.34,-0.21,3.89
2025-09-19,920149,15.61,15.27,15.75,15.11,20259,31242243.97,4.13,-1.48,-0.23,3.27
2025-09-22,920149,15.25,15.12,15.48,14.93,14728,22201700.13,3.6,-0.98,-0.15,2.38
2025-09-23,920149,15.13,14.51,15.35,14.2,19934,28883441.07,7.61,-4.03,-0.61,3.22
2025-09-24,920149,14.53,14.73,14.93,14.51,15569,23009199.02,2.89,1.52,0.22,2.51
2025-09-25,920149,14.83,14.39,14.83,14.39,9409,13753456.44,2.99,-2.31,-0.34,1.52
2025-09-26,920149,14.57,14.31,14.63,14.3,8245,11918989.81,2.29,-0.56,-0.08,1.33
2025-09-29,920149,14.33,14.33,14.52,14.11,10639,15217951.26,2.87,0.14,0.02,1.72
2025-09-30,920149,14.35,14.29,14.5,14.23,8899,12769887.92,1.88,-0.28,-0.04,1.44
2025-10-09,920149,14.15,13.81,14.24,13.34,31177,42701884.95,6.3,-3.36,-0.48,5.03
2025-10-10,920149,13.6,13.83,14.08,13.58,15287,21250730.3,3.62,0.14,0.02,2.47
2025-10-13,920149,13.44,13.71,13.73,13.19,13994,18904338.92,3.9,-0.87,-0.12,2.26
2025-10-14,920149,13.8,13.75,14.16,13.73,16968,23720515.6,3.14,0.29,0.04,2.74
2025-10-15,920149,13.75,13.88,14.01,13.68,10594,14702302.95,2.4,0.95,0.13,1.71
2025-10-16,920149,13.88,13.84,14.06,13.74,11951,16637453.33,2.31,-0.29,-0.04,1.93
2025-10-17,920149,13.87,13.58,13.87,13.39,10675,14595150.07,3.47,-1.88,-0.26,1.72
2025-10-20,920149,13.62,13.56,13.73,13.37,11716,15877945.22,2.65,-0.15,-0.02,1.89
2025-10-21,920149,13.6,14.21,14.22,13.5,17463,24349464.93,5.31,4.79,0.65,2.82
2025-10-22,920149,14.21,14.07,14.44,13.98,17459,24846033.46,3.24,-0.99,-0.14,2.82
2025-10-23,920149,14.07,13.95,14.08,13.66,9607,13375171.68,2.99,-0.85,-0.12,1.55
2025-10-24,920149,13.98,13.98,14.16,13.88,13995,19631281.7,2.01,0.22,0.03,2.26
